addr,name,owner,score,online,gps,sync,rewards_total,rewards_today,rewards_yesterday,rewards_24h,rewards_48h,rewards_7d,rewards_7d_prior,rewards_30d,rewards_30d_prior,rewards_90d,rewards_90d_prior,rewards_365d,rewards_365d_prior
112d9wfJcK8h2Y2TxaoYwiaNj3pve4SHbhZHvbUkSs4mq7FuyJw9,sweet-carrot-monkey,13jcN2pG5KUQ7iseEmfWa9E2xNX3QYN2uZBqXRySAkSydFuzc6w,0.0,online,-,99%,41699825817,84557954,1843656152,1928214106,2019350312,7554948554,4596321740,26246031246,14914704259,41699825817,0,41699825817,0
112YcreVSZYSppLx2WnfFjWjuugpC7LK6LQuw6X95fuEqnMftfxT,swift-blonde-duck,13YSRn73SqqTpwk8aar6wtWY6DmHashNDf1RG3omMHRHnqugn6G,0.0,online,-,99%,18138913450,84928311,707230784,792159095,792159095,3565535063,2659656235,16887161870,863598033,18138913450,0,18138913450,0
11jWYsQnYb4F1VubqUJMY1dyLqSx1hnWZ9XznJdC9tZ36jZtvkN,swift-mango-camel,14F58GHtFg9U4QTHudEj6Cdi9Fs1apGYEzaZqfoiu5oDgdEG4rr,0.0,online,-,99%,8234885647,56331120,1307608301,1363939421,1363939421,2465947798,1820400907,7346164660,606098461,8234885647,0,8234885647,0
112SA9zHzvENQ2LoLnjCT1K7xT1jyRzxv8EgDj86dSTnPsmmNEoC,tall-charcoal-walrus,131VkRsrWR1tKBYpu5LhCaYzrjaWzX7GK79CQMixzYV6kgLQ1J6,0.0,online,-,99%,184564861470,93128485,1401168230,1494296715,1993804931,5044812371,4621295658,22318145694,22179975057,76916080979,99210000904,184564861470,0
11RxgJ4WDW6FGGYpLu3Mhopaq6nwmwi483rbswdLG7HCRsDNWdW,tall-fuchsia-dog,132cxNBL8gKcxB4SpPbxr7B2y61jRNz5nMpmLntyQMDT273KxGw,0.0,online,-,99%,1138247820528,39465972,595748630,635214602,760717479,3936836000,2280306347,14685927919,41275244,18018004097,56343175529,631437841365,502579014842
1125MFYLkRb7skmHx5Z4M3fkoktsa86shMBp4PSQuMzHcqkrtbNo,tall-ivory-orangutan,14XAsr7KvoxuZqhbBKZbsw7p79mm62RFjjCFkFfDPW83TaQAuUU,0.0,online,-,99%,17409292118,5374215,113486564,118860779,209327334,595427756,775354843,4515470422,8604890642,17409292118,0,17409292118,0
112VAoPkga74PCBuk6Zw2JABMnWyh8Ey64iESwt1eHobWbCdfP7u,tall-quartz-mustang,137SRsDdjmL6wPkVapYy1ikzmGRyeXhLkjq1azZzQWbMyTh2ZdU,0.0,online,-,99%,5793033867,0,33432462,33432462,56629078,122058911,102667915,1035595611,1327946342,3497272242,2295758657,5793033867,0
11o1kvkopxHGqaw7NkaaaXQe55tLhgH1eLA1kp9b26gqk6u7x9N,tall-tan-dragon,14mjcTiEcvdjG7NebeeSAwGC18HjNSng7xB132KYYsLNxxqoCQS,0.0,online,-,99%,40683190022,116604676,734356365,850961041,1257721629,3635128927,3227043448,17424766885,21325977179,40683190022,0,40683190022,0
11fVjPNMUF18ZLZUohymSDb1MBMXbhhMmUU6iG2pBdAkuiqs6B5,tame-amber-hare,13uUZJPVX1Z9o8TSCwzUaa5cLo9zGuY9LkUPyVucfN9q191ARam,0.0,online,-,99%,4718758043,0,11283639,11283639,45199510,91713711,88099657,1748994840,597712625,2911039636,1162051249,4718758043,0
11eBYqwSyVMSYUtwSx12xBepFbJpzSu4BV5r7ftMXZgJtW5nfsx,tame-concrete-wren,139JkWbwZ1w3vR4BdxQyJ1FWGTyiC923SLV1zk9aSWnWtnMbx7m,0.0,online,-,99%,14601965778,0,56354510,56354510,56354510,121350609,100939626,521126581,674354079,9779351620,2395592580,14601965778,0
112gjpJesXTZ5eCLvw9N3NT94HnxXLiePWPunYcQThHGdkCpXYQz,tame-nylon-goldfish,143kE5LpVaQa6YaAbiQoJJkaAoUGFh6Nec1D673929AoAWAFspx,0.0,online,-,99%,34367568225,89381609,1466963786,1556345395,2880879442,8731991401,7238666692,30339845064,3511485638,34367568225,0,34367568225,0
11N7bZwe12RhKTD9eBQPVC1TD5QrcXUk9TXryZrLgUStwieFDrY,tame-raspberry-pig,13KKpq6LHbUvMqe59zMEuXrtMZu9HpV6cWoBKNq3yEajyk4pUAv,0.0,online,-,99%,461120306818,64064997,2662861677,2726926674,2726926674,4919574562,372926473529,400393803908,6075133297,461120306818,0,461120306818,0
118QKhMNu4MXLF8yubYBxd4sMZWMZ7iPRMWrDcgrTH6TSaK4MnC,tame-sky-lemur,13NVHGUnKLSyAng38atyNLsxz8voCHmmvRkzmhjkXUzaENzgNr8,0.0,online,-,99%,18550159868,56376272,620309270,676685542,1056437751,1975394520,2165128969,10430279738,7885461864,18550159868,0,18550159868,0
11PTvmerQ2vLvKMWEvrYVLZ1X54WgAuERBCfQzcPsQKg1mZYL63,tame-tan-tadpole,14F58GHtFg9U4QTHudEj6Cdi9Fs1apGYEzaZqfoiu5oDgdEG4rr,0.0,online,-,99%,5027797418,0,590435758,590435758,590435758,1295618554,1025553156,4493687536,534109882,5027797418,0,5027797418,0
112hXHwX6DUpdjpxY2pnCs5wqTZo7Ux8anKfMXhKBtKVUHh2HfiS,tangy-ash-goldfish,132cxNBL8gKcxB4SpPbxr7B2y61jRNz5nMpmLntyQMDT273KxGw,0.0,online,-,99%,1088521089209,435600681,884121188,1319721869,3614208852,7511864788,3437190775,21319269286,13840068,25942202056,107793516934,714328264502,371487294325
112LQr3vgZ8rksUBGKsQzEc6YSyzcQFqXpFGgs9HiWxARmU3q1Rj,tangy-bamboo-stork,145vs9JgbVQV1gUpfyHcvQmBGwDS44hgSJzk1aj69KqSyfEeD67,0.0,online,-,99%,559138293429,23737134,570649928,594387062,1077882879,2086994824,2448542522,10513267540,15498405465,48295746535,150787476568,559138293429,0
